Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Hooded Warbler,Setophaga citrina,950029,773816,HOWA,FALSE,TRUE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Unidentified Chickadee,Poecile,553526,263793,UNCH,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Ovenbird,Seiurus aurocapillus,178927,92689,OVEN,FALSE,FALSE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0003,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,22.60000038,64,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
CATO,NA,CATO 1,CATO-0016,Forest,2018,5/25/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,18.79999924,70,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
