Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0173,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21.70000076,82,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0139,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.79999924,83.59999847,Fog,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0145,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21.89999962,83,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0145,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,21.89999962,83,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0145,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,21.89999962,83,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0145,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,21.89999962,83,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
GWMP,NA,GWMP 4,GWMP-0145,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,21.89999962,83,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
GWMP,NA,GWMP 4,GWMP-0129,Forest,2018,5/29/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,22.29999924,84,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Serious effect on count,FALSE
