Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Gray Catbird,Dumetella carolinensis,178625,89977,GRCA,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
HAFE,NA,HAFE 2,HAFE-0053,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,22.60000038,79.09999847,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
HAFE,NA,HAFE 2,HAFE-0042,Forest,2018,5/31/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,22.39999962,78.09999847,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
