Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Scarlet Tanager,Piranga olivacea,179883,88071,SCTA,FALSE,TRUE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Pine Warbler,Setophaga pinus,950045,890952,PIWA,FALSE,TRUE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Veery,Catharus fuscescens,179796,87177,VEER,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Veery,Catharus fuscescens,179796,87177,VEER,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0080,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Common Yellowthroat,Geothlypis trichas,178944,92708,COYE,FALSE,FALSE,20,67.5,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Veery,Catharus fuscescens,179796,87177,VEER,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Veery,Catharus fuscescens,179796,87177,VEER,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
NACE,GREE,NACE 5,NACE-0081,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,20.89999962,66.69999695,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,TRUE
NACE,GREE,NACE 5,NACE-0107,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,18.70000076,76,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
NACE,GREE,NACE 5,NACE-0107,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,18.70000076,76,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0107,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,,Red-shouldered Hawk,Buteo lineatus,175359,79572,RSHA,FALSE,FALSE,18.70000076,76,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
NACE,GREE,NACE 5,NACE-0107,Forest,2018,5/12/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,18.70000076,76,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
