Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Scarlet Tanager,Piranga olivacea,179883,88071,SCTA,FALSE,TRUE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Unidentified Chickadee,Poecile,553526,263793,UNCH,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,TRUE,,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,House Wren,Troglodytes aedon,178541,88306,HOWR,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0001,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,23.5,82,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Song Sparrow,Melospiza melodia,179492,85643,SOSP,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0003,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,23.60000038,83.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
WOTR,NA,WOTR,WOTR-0004,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,23,87.69999695,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
WOTR,NA,WOTR,WOTR-0004,Forest,2018,6/2/2018,12/30/1899,12/30/1899,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,23,87.69999695,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
