Admin_Unit_Code,Sub_Unit_Code,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,TRUE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Common Yellowthroat,Geothlypis trichas,178944,92708,COYE,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,TRUE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,TRUE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Brown Thrasher,Toxostoma rufum,178627,89979,BRTH,FALSE,TRUE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,TRUE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Common Yellowthroat,Geothlypis trichas,178944,92708,COYE,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,TRUE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0171,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Male,Veery,Catharus fuscescens,179796,87177,VEER,FALSE,FALSE,22.89999962,70.09999847,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Meadowlark,Sturnella magna,179034,93601,EAME,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Song Sparrow,Melospiza melodia,179492,85643,SOSP,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0111,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21,76.09999847,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Visualization,,TRUE,Undetermined,Canada Goose,Branta canadensis,174999,76625,CANG,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Common Yellowthroat,Geothlypis trichas,178944,92708,COYE,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Visualization,,TRUE,Undetermined,Canada Goose,Branta canadensis,174999,76625,CANG,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Northern Mockingbird,Mimus polyglottos,178620,88394,NOMO,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Common Yellowthroat,Geothlypis trichas,178944,92708,COYE,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MANA,NA,MANA-0093,Grassland,2018,5/15/2018,12/30/1899,12/30/1899,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.79999924,81.40000153,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
