Admin_Unit_Code,Sub_Unit_Code,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Visualization,50 - 100 Meters,FALSE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Eastern Meadowlark,Sturnella magna,179034,93601,EAME,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
MONO,NA,MONO-0046,Grassland,2018,5/10/2018,12/30/1899,12/30/1899,Brian Swimelar,1,0-2.5 min,Visualization,50 - 100 Meters,FALSE,Undetermined,European Starling,Sturnus vulgaris,179637,86204,EUST,FALSE,FALSE,19,63,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE
